Szem_H,Szem_N,Fejteto_H,Fejteto_N,Hossz_H,Hossz_N
7,7,16,17.5,3.2,3.6
6,8,14,18,3.2,3.9
7,8,15,16,3.2,3.7
9,8,15.5,19,3.3,3.75
7.5,8,15,19,3.1,3.8
9,8,18,17,3.8,3.9
8,9,16,18,3.3,3.7
7,7,13,19,2.9,3.8
9,6,17,17,3.2,3.5
7,8,16,17,3.1,3.5
7,8,15,20,3.5,4.3
6,8,15,18,3.4,3.3
10,9,17,17,3.6,3.5
9,7,16,18,3.4,4
8,9,16,20,3.5,4
7,8,15,18,3.3,3.6
7,8,13,18,3.4,3.8
9,8,16,18,3.6,3.9
8,7,17,19,3.4,3.6
9,7,17,18,3.5,3.8
7,9,16,19,3.3,4
8,9,16,18,3.6,3.9
8,9,17,20,3.3,4
7,10,16,17,3.5,3.9
8,8,11,19,3.2,3.8
8.5,7,15,18,3.3,3.7
9,8,18,18,3.6,3.5
8,8,17,19,3.4,3.7
10,9,16,18,3.3,3.7
8,9,16,19,3.3,3.8
9,8,17,17,3.35,3.2
9,7,16,18,3.5,3.9
7,9,16,17,3.2,3.7
7,8,16,19,3.3,3.8
8.5,8,16,19,3.4,3.9
8,6,16,18,3.2,3.4
7,8,17,17,3.65,3.4
8,7,16,18,3.35,4
8,7,16,17,3.7,3.6
7,8,15,18,3.35,3.8
8.5,8,18,18,3.7,3.8
9,8,17,19,3.4,3.8
8,8,17,18,3.6,3.6
7,8,16,19,3.5,3.7
8,9,17,16,3.3,3.5
7,8,16,19,3.5,3.6
7,7,17,18,3.4,4
7,7.5,17,16,3.3,3.85
8,7,18,18,3.5,3.7
8,8,16,18,3.4,3.5
8,8,15,17,3.2,3.6
8,8,17,16.5,3.4,2.7
8,7,16,18,3.3,3.7
8.5,7.5,16,18,3.2,3.7
7.5,7,16,19,3.5,3.85
8.5,7,16,18,3.3,3.85
7.5,7,16,15,3.2,3.3
8,8.5,15,18,3.4,4
8,7.5,15,18,3.3,3.6
8.5,8,16,18,3.4,3.8
8,8,15.5,18,3.4,3.9
8,7,16,18,3.4,3.7
7.5,7,17,17.6,3.2,3.7
8,8,16,18,3.2,3.7
7.5,8,17,18,3.3,3.9
8.5,7,16,17,3.3,3.7
8,6.5,16.5,17,3.25,3.5
8,8,16,17,3.2,3.4
7.5,7,16,17,3.2,3.4
8,7,16,18,3.1,3.6
8.5,8,16,16,3.6,3.4
8.5,8,16,18,3.1,3.6
8.5,6,16.5,18,3.3,3.7
7.5,7,16,18,3.2,3.7
9,7,16.5,19,3.35,3.8
8.5,7,17,17,3.4,3.8
8,7,15,18,3.2,3.5
8,7,17,19,3.3,3.7
7,7,15,19,3.3,3.9
8.5,7,16,18,3,3.4
8,6,17,19,3.12,3.5
8,7,14.5,19,3.4,3.6
7,8,15.5,17,3.1,3.6
8.5,8,16,18.5,3.4,3.4
7.75,7,17,18,3.35,3
8.5,7.5,17,17,3.6,3.65
,7,,19,,3.7
,7,,20,,3.5
,8,,18,,3.6
,8,,19,,3.6
,8,,19,,3.7
,8,,18,,3.7
,8,,18,,3.5
,8,,17.5,,3.4
,7,,18,,3.6
,8,,18,,3.5
,7.5,,17.5,,3.8
,7.5,,18,,3.4
,7.5,,18,,3.3
,7.5,,18,,3.5
,7.5,,19,,3.3
,7.5,,17.5,,3.4
,7.5,,18.5,,3.4
,7,,18,,3.1
,7,,18,,3.7
,8,,17.5,,3.5
,8,,18,,3.5
,7,,18,,3.5
,8,,17.5,,3.4
,7,,17,,3.6
,8,,17,,3.3
,8,,17,,3.85
,8,,18,,3.8
,7.5,,17,,3.65
,6,,17,,3.7
,7.5,,18,,3.7
,7,,18,,3.7
,7,,19,,3.5
,8,,17,,3.1
,8,,17,,3.6
,7.5,,16,,3.7
,8,,18,,3.5
,7,,18,,3.4
,8.5,,17,,3.7
,7,,18,,3.7
,7,,18,,3.6
,8,,18,,3.5
,8,,17.5,,3.75
,7.5,,18,,3.5
,7.8,,16.4,,3.5
,8,,17,,3.4
,7.5,,17.5,,3.3
,7.5,,17.5,,3.35
,8,,16,,3.5
